brand,name,old_price,new_price,store
Stock Preferred,Stock Preferred End Mill Adapter Holder For Bridgeport Machines 3/8inch Silver,49.99,39.99,Stock Preferred
GCP Products,"GCP Products 4-Piece Miniature Pick And Hook Set,",44.39,39.99,Tekcom Shop USA
Shars,"SHARS 10pcs 1/2"" AL Style C6 Grade Carbide Tipped Tool Bits 404-2071(10) 2{",43.52,39.54,GrowKart
Great Choice Products,Great Choice Products Aluminum Hand Operated Juicer For Fruit Vegetable And Wheat Grass Grinder,41.06,36.99,Tekcom Shop USA
Stock Preferred,Stock Preferred Car Tire Repair Patch Tool Set 3 Pcs Black,46.99,36.99,Stock Preferred
Shars,"SHARS 10 Pcs 1/4"" C Style C6 Grade Carbide Tipped Tool Bits 404-2007 (10) 2{",38.23,34.74,GrowKart
Horizon Tool Inc,Horizon Tool Inc Two-In-One S-Cam Brake Tool,,34.36,"JLW Sales, Inc"
Stock Preferred,Stock Preferred Household Tools Kit Box Mechanics 39 Pcs,42.99,32.99,Stock Preferred
GCP Products,GCP Products Stringliner Pro Orange Twisted Mason Line & Reel Handle Thumb Brake 270',36.62,32.99,Tekcom Shop USA
GCP Products,GCP Products 6Pc Magnetic Screwdriver Set 3 Slotted 3 Phillips Hexagon Cap Industrial Grade,36.62,32.99,Tekcom Shop USA
General Tires,General Tires General Tools & Instruments Nut Splitter,69.31,31.27,"UnbeatableSale.com, Inc."
Branded,Branded Flange Type Axle & Front Wheel Hub Puller Tool 4 Domestic/Import Car Light Truck,34.99,29.99,Everest Ventures
TKM Industrial,"TKM Industrial Weatherproof Cover For 3800 To 4500-Watt Inverter Generators, Large, Grey",32.18,28.99,Tekcom Shop USA
GCP Products,GCP Products Stringliner Pro Pink Braided Chalk Line Refill 500' L 165 Lb #18 Nylon New,31.07,27.99,Tekcom Shop USA
GCP Products,"GCP Products Coating Masonry 6.5"" Wood Brush Cement Waterproofing Cold Water Paints",27.74,24.99,Tekcom Shop USA
GCP Products,GCP Products Stringliner Pro Orange Twisted Chalk Line Refill 540' 165 Lb #18 Nylon New,27.74,24.99,Tekcom Shop USA
Stock Preferred,Stock Preferred 2PCS Spark Plug Hole Thread Chaser 10 12 & 14 18mm Re-threader Tap Cleaning Tool,33.99,23.99,Stock Preferred
MICRO 100,"Micro 100 AR-8 Micro 100 Single-Point Tool Bit: AR Tool Bit Style, 1/2 in Shank Wd, 1/2 in Shank Ht, Carbide, Zinc  AR-8",25.99,23.91,SIM Supply
Stock Preferred,Stock Preferred Motorcycle Valve Guide Remover and Repair Tool Set for Easy Engine Maintenance,31.99,21.99,Stock Preferred
GCP Products,"GCP Products Slotted Diamond Tip Screwdriver, 3/16 X 3 In.",24.41,21.99,Tekcom Shop USA
GCP Products,"GCP Products Slotted Diamond Tip Screwdriver, 1/8 X 3 In.",21.99,19.99,Tekcom Shop USA
Powerbuilt,Powerbuilt 20-Blade Tune-Up Gauge - 648396,19.99,8.02,ToolSmithDirect
HHIP,"HHIP 6016-0123 SEET/DR Carbide Insert.500"" IC",15.77,14.99,GrowKart
K&S,"K&S Precision Metals 9853 Square Brass Tube, 5mm X 5mm X .45mm Wall Thickness X 300mm Long, 2 Pieces per Pack, Made in The USA",12.89,12.25,GrowKart
DeWalt,DeWalt OEM 86-325D Tool Set 13Mm Socket  DWMT72163  DWMT72164  DWMT72165,,10.47,PowerToolReplacementParts
K&S,"K&S Precision Metals 5075 Bendable Brass Tube, 3/32"", 1/8"", 5/32"" X 12"" Long, 3 Pieces per Pack, Made in The USA",4.91,4.67,GrowKart
