brand,name,old_price,new_price,store
MRS MEYERS CLEA,"Mrs Meyers Clean Day, Candle Soy Lavender, 7.2 Oz, (Pack Of 6)",108.00,72.00,Vir Ventures
Melrose International,"Melrose International Pine and Berry Centerpiece 31""L x 12""H Plastic/Foam (Fits 3"" Candles)",92.65,71.27,KART IT
Melrose International,Melrose International simplux 3.5x5 inch Ivory Simplux Flameless LED Candle w/Flickering Moving Flame,78.29,69.87,GrowKart
Melrose International,"Melrose International LED Clip On Taper Candle (Set of 24) 6.5""H Plastic",92.26,70.97,KART IT
vidaXL,vidaXL Freestanding Candle Lantern Holder Bamboo Black,119.54,70.32,Vir Ventures
Melrose International,Melrose International 58655 Simplux LED Dripping Candle w/Moving Flame - Set of 2,161.40,68.22,"UnbeatableSale.com, Inc."
Melrose International,Melrose International 80253 LED Birch Candle - Set of 2 w/ Remote,158.80,66.94,"UnbeatableSale.com, Inc."
Melrose International,"Melrose International Simplux Squared Candle w/Moving Flame (Set of 2) 3.5""SQ x 5""H",106.48,66.55,Vir Ventures
Melrose International,Melrose International 62780 Simplux Squared Candle w/Moving Flame - Set of 2,160.35,67.50,"UnbeatableSale.com, Inc."
Melrose International,"Melrose International Taper Candle 10""H (Set Of 4) Plastic/Wax",,65.49,Diamond2Deal Inc
Melrose International,"Melrose International LED Remote Dripping Candles (Set of 3) 3""Dx4""H,6""H,8""H Wax/Plastic",91.48,65.34,Vir Ventures
Melrose International,"Melrose International Melrose 7"" Red-Orange Dripping Wax Flameless LED Lighted Pillar Candle with Moving Flame",74.24,64.49,Christmas Central
Melrose International,"Melrose International Candleholders (Set of 2) 11""H, 14""H Cement",102.77,64.23,Vir Ventures
Melrose International,"Melrose International Simplux LED Dripping Candle w/Moving Flame (Set of 2) 3""D x 7""H",102.05,63.78,Vir Ventures
Melrose International,"Melrose International Simplux Designer Melted Candle (Set of 2)  7.5""H",101.60,63.50,Vir Ventures
Melrose International,"Melrose International LED Wax Dripping Pillar Candle (Set of 3) 3""Dx8""H Wax/Plastic - 2 C Batteries Not Incld.",95.12,63.41,Vir Ventures
Melrose International,"Melrose International Led Wax Dripping Pillar Candle (Set Of 3) 3""Dx8""H Wax/Plastic - 2 C Batteries Not Incld.",,62.51,Diamond2Deal Inc
Melrose International,"Melrose International Simplux LED Designer Candle (Set of 2) w/Remote 3.5""x5""H Wax/Plastic",99.52,62.20,Vir Ventures
Melrose International,"Melrose International Simplux LED Designer Candle (Set of 2) w/Remote 3.5""x5""H Wax/Plastic",98.64,61.65,Vir Ventures
Melrose International,"Melrose International Simplux Led Designer Candle (Set Of 2) W/Remote 3.5""X5""H Wax/Plastic",,61.32,Diamond2Deal Inc
Melrose International,"Melrose International Simplux Designer Melted Candle (Set of 2)  7.5""H",113.25,61.15,ErgodE
Melrose International,"Melrose International LED Clip On Taper Candle (Set of 24) 4.5""H Plastic",97.74,61.09,Vir Ventures
Melrose International,"Melrose International LED Clip-on Taper Candles (Set of 24) w/Remote 4""H",97.74,61.09,Vir Ventures
Melrose International,"Melrose International Led Clip On Taper Candle (Set Of 24) 4.5""H Plastic",,59.54,Diamond2Deal Inc
Melrose International,"Melrose International LED Clip-on Taper Candles (Set of 24) w/Remote 4""H",76.83,59.10,KART IT
Melrose International,Melrose International Simplux Led Dripping Candle W/ Moving Flame (Set Of 2 W/Remote),,58.89,Diamond2Deal Inc
Melrose International,"Melrose International LED Wax Dripping Pillar Candle (Set of 4) 3""Dx6""H Wax/Plastic - 2 C Batteries Not Incld.",87.17,58.11,Vir Ventures
Melrose International,"Melrose International Led Wax Dripping Pillar Candle (Set Of 3) 3""Dx8""H Wax/Plastic - 2 C Batteries Not Incld.",,57.15,Diamond2Deal Inc
Candellana Candles,"Candellana Candles Candellana- Eiffel Tower Candle-Gold, Large, - 5902650679894",62.88,56.13,GrowKart
Melrose International,"Melrose International Lantern w/3""x3"" LED Candle (Set of 2) 12.25""H Iron/Glass/Plastic - 2 AA Batteries Not Incld.",88.32,55.20,Vir Ventures
PyroPet,PyroPet Candles Kisa Candle (Burgundy),61.53,54.93,GrowKart
Melrose International,"Melrose International Simplux Plastic Outdoor Candle w/Moving Flame (Set of 2) 2.75""D x 7""H",75.85,54.18,Vir Ventures
Melrose International,"Melrose International Led Wax Dripping Pillar Candle (Set Of 4) 3""Dx4""H Wax/Plastic - 2 C Batteries Not Incld.",,53.58,Diamond2Deal Inc
Melrose International,"Melrose International Lantern w/3""x3"" LED Candle (Set of 2) 12.25""H Iron/Glass/Plastic - 2 AA Batteries Not Incld.",84.90,53.06,Vir Ventures
Melrose International,"Melrose International LED Wax Dripping Pillar Candle (Set of 4) 3""Dx4""H Wax/Plastic - 2 C Batteries Not Incld.",74.10,52.93,Vir Ventures
Melrose International,"Melrose International LED Wax Dripping Pillar Candle (Set of 6) 1.75""Dx4""H Wax/Plastic - 2 AA Batteries Not Incld.",68.71,52.85,KART IT
Melrose International,"Melrose International LED Wax Dripping Pillar Candle (Set of 4) 3""Dx4""H Wax/Plastic - 2 C Batteries Not Incld.",83.65,52.28,Vir Ventures
AutoM,"Autom Trust in The Lord - Proverbs 3:5-3"" x 6"" LED Candle (1 Pack)",57.46,51.30,GrowKart
Melrose International,Melrose International 53426DS 3 x 4&#44; 6 & 8 in. Wax & Plastic LED Remote Dripping Candles - Set of 3,117.37,50.23,"UnbeatableSale.com, Inc."
Melrose International,"Melrose International Led Flickering Light W/6 Hr Timer (Set Of 2) 5""H Plastic (Usb Charger Not Included)",,49.12,Diamond2Deal Inc
Melrose International,"Melrose International Simplux LED Pillar Candle w/Moving Flame (Set of 2)  3""D x 9""H",68.07,48.62,Vir Ventures
Melrose International,"Melrose International Simplux Votive w/Moving Flame (Set of 2) 2""Dx4""H",62.92,48.40,KART IT
Melrose International,Melrose International 50209 Lantern w/ LED Candle - Set of 2,108.96,46.95,"UnbeatableSale.com, Inc."
Melrose International,"Melrose International LED Birch Candle 3.5""D x 7""H (with Remote)",74.77,46.73,Vir Ventures
St Jude,"St Jude, Candle Clear Glass White, 1 Ea, (Pack Of 12)",74.54,46.59,Vir Ventures
Melrose International,"Melrose International Simplux LED Rechargeable Blutooth Speaker Candle 3.5""x6""H Wax/Plastic",59.83,46.02,KART IT
Celebration Candles,"Celebration Candles Wedding Unity 15-Inch 1 to 50 Year Numbered Countdown Anniversary Candle, White",50.20,45.60,GrowKart
Flatyz,"Flatyz Hand Painted Flat Candle | Unscented, Dripless, Smokeless, Decorative | Coral, Star and Shells | Double Wick with",50.19,45.59,GrowKart
Celebrity Prayer Candles,Celebrity Prayer Candles Ice Cube Celebrity Prayer Candle - Funny Saint Candle - Hip Hop Rap Pop Culture Candle - 100% Handmade in USA - Funny,50.14,45.54,GrowKart
Celebrity Prayer Candles,Celebrity Prayer Candles Tom Hardy Celebrity Prayer Candle - Funny Saint Candle - 8 inch Glass Prayer Votive - 100% Handmade in USA - Novelty,50.14,45.54,GrowKart
Celeb Prayer Candle,Celeb Prayer Candle Chance The Rapper Celebrity Prayer Candle - Funny Saint Candle - 8 inch Glass Prayer Votive - 100% Handmade in USA - Novelty,50.14,45.54,GrowKart
Celebrity Prayer Candles,Celebrity Prayer Candles Will Smith Celebrity Prayer Candle - Funny Saint Candle - 8 inch Glass Prayer Votive - 100% Handmade in USA - Novelty,50.14,45.54,GrowKart
Celebrity Prayer Candles,Celebrity Prayer Candles Niall Horan Celebrity Prayer Candle - Funny Saint Votive - Pop Culture Celeb Prayer Candle - 100% Handmade in USA - Celebrity,50.14,45.54,GrowKart
Celebrity Prayer Candles,Celebrity Prayer Candles Kourtney Kardashian Celebrity Prayer Candle - Funny Saint Candle - 8 inch Glass Prayer Votive - 100% Handmade in USA -,50.14,45.54,GrowKart
Celebrity Prayer Candles,Celebrity Prayer Candles Meryl Streep Celebrity Prayer Candle - Funny Saint Candle - 8 inch Glass Prayer Votive - 100% Handmade in USA - Novelty,50.14,45.54,GrowKart
Celeb Prayer Candle,Celeb Prayer Candle John F Kennedy Celebrity Prayer Candle - Funny Saint Candle - 8 inch Glass Prayer Votive - 100% Handmade in USA - Novelty,50.14,45.54,GrowKart
Celebrity Prayer Candles,Celebrity Prayer Candles Bill Nye The Science Guy Celebrity Prayer Candle - Funny Saint Candle - 8 inch Glass Prayer Votive - 100% Handmade in USA -,50.14,45.54,GrowKart
Celebrity Prayer Candles,Celebrity Prayer Candles Crying Kim Kardashian Celebrity Prayer Candle - Funny Saint Candle - 8 inch Glass Prayer Votive - 100% Handmade in USA -,50.14,45.54,GrowKart
Melrose International,Melrose International 62867 Simplux Votive w/Moving Flame - Set of 2,106.81,49.33,"UnbeatableSale.com, Inc."
Elysian Gift Shop,Elysian Gift Shop Catholic Stained Glass Candle Our Lady of Guadalupe Adoration Gift Set- Includes: 6-Day Candle with Stained Glass Image of,50.07,45.48,GrowKart
Melrose International,Melrose International 38600DS 4 x 3 in. Wax & Plastic LED Wax Dripping Pillar Candle&#44; Set of 4,104.28,45.07,"UnbeatableSale.com, Inc."
Zen Den Candles,Zen Den Candles - Abundance Quartz - Crystal Shaped (Wax) Unscented Candle - Handcrafted for Home D̩cor & Positive Energy,46.22,41.99,GrowKart
Celebrity Prayer Candles,Celebrity Prayer Candles Drew Barrymore Celebrity Prayer Candle - Funny Saint Candle - 8 inch Glass Prayer Votive - 100% Handmade in USA - Novelty,47.49,43.14,GrowKart
Celebrity Prayer Candles,Celebrity Prayer Candles Joaquin Phoenix Celebrity Prayer Candle - Funny Saint Candle - Joker Glass Prayer Votive - 100% Handmade in USA - Funny,47.49,43.14,GrowKart
Celebrity Prayer Candles,Celebrity Prayer Candles Jon Stewart Celebrity Prayer Candle - Funny Saint Candle - 8 inch Glass Prayer Votive - 100% Handmade in USA - Novelty,47.49,43.14,GrowKart
Celebrity Prayer Candles,Celebrity Prayer Candles Kevin Bacon Celebrity Prayer Candle - Funny Saint Candle - 8 inch Glass Prayer Votive - 100% Handmade in USA - Novelty,47.49,43.14,GrowKart
Celeb Prayer Candle,Celeb Prayer Candle George Clooney Celebrity Prayer Candle - Funny Saint Candle - 8 inch Glass Prayer Votive - 100% Handmade in USA - Novelty,47.49,43.14,GrowKart
Celebrity Prayer Candles,Celebrity Prayer Candles Jennifer Lawrence Celebrity Prayer Candle - Funny Saint Candle - 8 inch Glass Prayer Votive - 100% Handmade in USA - Novelty,47.49,43.14,GrowKart
Celebrity Prayer Candles,Celebrity Prayer Candles Elizabeth Warren Celebrity Prayer Candle - Funny Saint Candle - 8 inch Glass Prayer Votive - 100% Handmade in USA - Novelty,47.49,43.14,GrowKart
Celebrity Prayer Candles,Celebrity Prayer Candles Harry Celebrity Prayer Candle - Funny Saint Candle - 8 inch Glass Prayer Votive - 100% Handmade in USA - Novelty Celebrity,47.49,43.14,GrowKart
Celebrity Prayer Candles,Celebrity Prayer Candles Kendall Jenner Celebrity Prayer Candle - Funny Saint Candle - 8 inch Glass Prayer Votive - 100% Handmade in USA - Novelty,47.49,43.14,GrowKart
Celebrity Prayer Candles,Celebrity Prayer Candles Brad Pitt Celebrity Prayer Candle - Funny Saint Candle - 8 inch Glass Prayer Votive - 100% Handmade in USA - Novelty,47.49,43.14,GrowKart
Celebrity Prayer Candles,Celebrity Prayer Candles Justin Trudeau Canada Prime Minister Celebrity Prayer Candle - Funny Saint Candle - 8 inch Glass Prayer Votive - 100%,47.49,43.14,GrowKart
Celebrity Prayer Candles,Celebrity Prayer Candles Adele Celebrity Prayer Candle - Funny Saint Candle - 8 inch Glass Prayer Votive - 100% Handmade in USA - Funny Celebrity,47.49,43.14,GrowKart
Celebrity Prayer Candles,Celebrity Prayer Candles Pope Francis Celebrity Prayer Candle - Catholic Saint Candle - 8 inch Glass Prayer Votive - 100% Handmade in USA - Religious,47.49,43.14,GrowKart
Melrose International,Melrose International 62785 Simplux Outdoor Candle w/Moving Flame - Set of 2,98.40,42.72,"UnbeatableSale.com, Inc."
TAG Trade Associates Group Ltd,TAG Trade Associates Group Ltd tag Christmas Evergreen Tree Large Candle,46.61,42.34,GrowKart
Celeb Prayer Candle,Celeb Prayer Candle Nicolas Cage Celebrity Prayer Candle - Funny Saint Candle - 8 inch Glass Prayer Votive - 100% Handmade in USA - Novelty,46.17,41.94,GrowKart
Candellana Candles,Candellana Candles Candellana-Dynamite Candle-Violet Metal,44.37,40.31,GrowKart
Melrose International,"Melrose International LED Egg Table Piece w/Timer 22""H Paper - 3 AAA Batteries Not Included",64.48,40.30,Vir Ventures
Melrose International,"Melrose International Simplux LED Designer Candle w/Remote 3.5""x7""H Wax/Plastic",60.15,40.10,Vir Ventures
Melrose International,Melrose International simplux Melrose International 65307  LED Designer Candle W/Remote,88.39,40.18,"UnbeatableSale.com, Inc."
Celeb Prayer Candle,Celeb Prayer Candle Anderson Cooper Celebrity Prayer Candle - Funny Saint Candle - 8 inch Glass Prayer Votive - 100% Handmade in USA - Novelty,43.52,39.54,GrowKart
Celebrity Prayer Candles,Celebrity Prayer Candles RuPaul Celebrity Prayer Candle - Funny Drag Race Saint Candle - 8 inch Glass Prayer Votive - 100% Handmade in USA - Novelty,43.52,39.54,GrowKart
Celebrity Prayer Candles,Celebrity Prayer Candles John Stamos Celebrity Prayer Candle - Funny Saint Candle - 8 inch Glass Prayer Votive - 100% Handmade in USA - Novelty,43.52,39.54,GrowKart
Celebrity Prayer Candles,Celebrity Prayer Candles Justin Timberlake Celebrity Prayer Candle - Funny Saint Candle - 8 inch Glass Prayer Votive - 100% Handmade in USA - Funny,43.52,39.54,GrowKart
Celebrity Prayer Candles,Celebrity Prayer Candles Nancy Pelosi Celebrity Prayer Candle - Funny Saint Candle - 2020 House Speaker - Political Novelty Gift - 100% Handmade in,43.52,39.54,GrowKart
Celebrity Prayer Candles,Celebrity Prayer Candles Jennifer Lopez Celebrity Prayer Candle - J Lo Funny Saint Candle - 8 inch Glass Prayer Votive - 100% Handmade in USA - J-Lo,43.52,39.54,GrowKart
Celebrity Prayer Candles,Celebrity Prayer Candles Jeff Goldblum Celebrity Prayer Candle - Funny Saint Candle - 8 inch Glass Prayer Votive - 100% Handmade in USA - Novelty,43.52,39.54,GrowKart
Melrose International,Melrose International 69462 Simplux LED Designer Candle W/Remote,86.27,39.47,"UnbeatableSale.com, Inc."
Intimate Hearts,"Intimate Hearts Massage Oil Candle, Argan Oil, Body Butters, Essential Oils",54.52,38.94,Vir Ventures
Intimate Hearts,"Intimate Hearts Massage Oil Candle, Argan Oil, Body Butters, Essential Oils",54.52,38.94,Vir Ventures
Intimate Hearts,"Intimate Hearts Massage Oil Candle, Argan Oil, Body Butters, Essential Oils",54.52,38.94,Vir Ventures
Define Design 11,Define Design 11 Mom Gifts from Daughter Mothers Day Gift for Mom The Best Mom Gift for Mother Birthday Gift Mothers Day Card Candle Gift for,42.27,38.40,GrowKart
CB,CB Four(4) Piece Set 2-inch LED Flameless Votive Christmas Advent Candles,40.93,37.19,GrowKart
Lavande Farm,Lavande Farm Lavender & Orange Soy Candle,58.29,36.43,Vir Ventures
Yankee Candle,Yankee Candle Moonlit Garden Easy Meltcup,39.56,35.94,GrowKart
Wax Lyrical,Wax Lyrical Honeysuckle Scented Glass Candle - RHS Fragrant Garden Collection - Made in England,39.53,35.92,GrowKart
Bungalow Glow,"Bungalow Glow, Candle Grass Skirt Holiday Wood 6 Ounce",38.77,35.23,GrowKart
ChristKindl-Markt,ChristKindl-Markt Pyramidenkerzen 14mm Medium White Pyramid Candles for German Pyramids (50 Pack),36.97,33.59,GrowKart
Illume,"Illume Candle Tin Demi Winter White, 1 EA",36.97,33.59,GrowKart
Boostnatics,Boostnatics Race Fuel Scented Candle - 8oz Tin Can,36.97,33.59,GrowKart
Majestic Giftware,"Majestic Giftware SC-HMC18R-MIX Safed Havdalah 18-Wick Round Candle, 14-Inch, Multi Color Mix",36.44,33.11,GrowKart
Flatyz,"Flatyz Christmas Candles White Christmas Ornaments Design - Flat, Decorative, Hand Painted Candle Gifts for Women or Men - 6",35.64,32.39,GrowKart
Flatyz,"Flatyz Hand Painted Flat Candle| Unscented, Dripless, Smokeless, Decorative | Butterfly | Double Wick with Metal Base |",,799.00,GrowKart
Flatyz,"Flatyz Beach Christmas Decorations - Sand Snowman with Santa Hat Decorative Candle - Flat, Hand Painted Christmas Candles for",35.59,32.34,GrowKart
Melrose International,"Melrose International Simplux LED Mosaic Candle w/ Moving Flame (Set of 2) 3""Dx6""H Glass/Plastic",59.73,32.26,ErgodE
Root Candles,"Root Candles Honeycomb Veriglass Scented Beeswax Blend Candle, Large, Sugared Grapefruit",35.31,32.09,GrowKart
Melrose International,Melrose International LED Wax Dripping Pillar 4 by 5 Inch Candle,33.67,30.60,GrowKart
Melrose International,Melrose International LED Wax Pillar 3 by 6-Inch Candle,33.61,30.54,GrowKart
CB,CB Four(4) Piece Set Christmas Season Decoration 9-inch LED Flameless Advent Candles,34.32,31.19,GrowKart
Flatyz,Flatyz Twin Wick Unscented Thin Flat Candle - Christmas Tree Red & White,34.32,31.19,GrowKart
Flatyz,"Flatyz Hand Painted Flat Candle| Unscented, Dripless, Smokeless, Decorative | Renoir Dance in The City | Double Wick with",34.27,31.14,GrowKart
Elysian Gift Shop,"Elysian Gift Shop Christmas Advent Candle Set with Prayer Pamphlet-Paraffin Wax Taper Candles- 4 Pack - (3 Purple, 1 Pink) for Advent Wreath",34.20,31.08,GrowKart
TAG Trade Associates Group,TAG Trade Associates Group Unscented Basic Clear Cup Tealight Candle 25 Pack Burn Time 3 Hours Ideal for Home Decor Birthday,33.00,29.99,GrowKart
Flatyz,Flatyz Candles Honeycomb with Bees Candle - Hand Painted Decorative Candles for Home - Comes with Metal Stand for Beautiful,32.94,29.94,GrowKart
Xodus,Xodus Innovations FPC1225P Pewter Traditional LED Deluxe Battery Operated Candle,50.49,29.73,"UnbeatableSale.com, Inc."
Lunaura,"Lunaura Novelty Candles - Unscented Ice Cream Cone Candle, Set of 6",31.64,28.76,GrowKart
Wally's Natural Products,Wally's Natural Products Wally &'S Ear Candles Lavender Paraffin - 4 Candles,55.73,27.65,"UnbeatableSale.com, Inc."
Flipo,Flipo Photo-Glo Personalized Flameless Candle Luminary,44.18,27.61,Vir Ventures
Design Imports,Design Imports Midwest Design Imports Design Imports Z02105 Spiced Cider Single Wick Candle - Set of 2,48.90,27.15,"UnbeatableSale.com, Inc."
Design Imports,Design Imports Midwest Design Imports Design Imports Z02108 Aloha Pineapple Single Wick Candle - Set of 2,48.65,26.90,"UnbeatableSale.com, Inc."
Candle Lite,Candle Lite Candle-Lite Orange Pumpkin Nutmeg Pie Scent Candle,32.27,23.90,Factory Hardware Store
Design Imports,Design Imports Midwest Design Imports Design Imports Z02075 Bubbly Champagne Tealights Candle Holder - Set of 36,43.82,23.57,"UnbeatableSale.com, Inc."
Design Imports,Design Imports Midwest Design Imports Design Imports Z02111 Lifes A Beach-Tropical Fruit Single Wick Candle - Set of 2,50.99,23.55,"UnbeatableSale.com, Inc."
Watchover Voodoo,"Watchover Voodoo Sandlot Doll, One Color, One Size",38.02,22.81,ErgodE
Majestic Giftware,"Majestic Giftware SC-SHTR-T Safed Shabbat Candle, 5-Inch, Tree Turquoise, 12-Pack",22.91,21.78,GrowKart
Sterno Home,Sterno Home CGT12311BL Inglow Blue Frosted Rustic Battery Operated Candle,22.89,21.76,GrowKart
DirectGlow LLC,DIRECTGLOW LLC 5 Pack Blacklight Reactive Drip Candle Set,20.99,19.95,GrowKart
Majestic Giftware,"Majestic Giftware Braided Havdalah Candle - 11"" Flat Braid Pink Purple and White Beeswax Candle - Shabbat Judaica Gift",20.67,19.65,GrowKart
Skullduggery Emporium,"Skullduggery Emporium Red Male candle - Ritual Spellwork, Magick, passion",20.28,19.28,GrowKart
Luchea's Psychic World,"Luchea's Psychic World 7 Knob White Hoodoo Spell Candle (Healing, Spiritual Cleansing)",19.64,18.67,GrowKart
Wally's Natural Products,Wally's Natural Products Aura Cacia Wally&'s Natural Products Paraffin Ear Candles Lavender - 2 Candles,37.85,18.50,"UnbeatableSale.com, Inc."
Ner Mitzvah,Ner Mitzvah Braided Beeswax Havdalah Candle - Wide Thick Criss-Cross Braid - Hand Dipped Bees Wax Braided - Shabbat Judaica,19.06,18.12,GrowKart
